link,img,product,color,brand,greenable,discounted,disc_price,orig_price,collection,label,gender,product_category,category
/en/product/casquette-sunrise-dad-jade-green-deux-ex-machina-305918,https://static.smallable.com/1615387-648x648q80/.jpg,casquette sunrise dad,jade green,deus ex machina,0,1,23.4,39.0,ss,accessories,w,caps,accessories
/en/product/casquette-sunflare-trucker-yellow-deux-ex-machina-305915,https://static.smallable.com/1615378-648x648q80/.jpg,casquette sunflare trucker,yellow,deus ex machina,0,1,23.4,39.0,ss,accessories,w,caps,accessories
/en/product/casquette-redline-trucker-red-deux-ex-machina-305913,https://static.smallable.com/1615375-648x648q80/.jpg,casquette redline trucker,red,deus ex machina,0,0,39.0,39.0,ss,accessories,w,caps,accessories
/en/product/casquette-redline-trucker-navy-blue-deux-ex-machina-305895,https://static.smallable.com/1615307-648x648q80/.jpg,casquette redline trucker,navy blue,deus ex machina,0,0,39.0,39.0,ss,accessories,w,caps,accessories
/en/product/t-shirt-femme-coton-bio-siena-smallable-basics-315883,https://static.smallable.com/1697413-648x648q80/.jpg,t-shirt femme coton bio,siena,smallable basics,1,0,45.0,45.0,ss,top,w,short sleeve t-shirts,top
/en/product/t-shirt-femme-coton-bio-blush-smallable-basics-315882,https://static.smallable.com/1697411-648x648q80/.jpg,t-shirt femme coton bio,blush,smallable basics,1,0,45.0,45.0,ss,top,w,short sleeve t-shirts,top
/en/product/t-shirt-femme-coton-bio-candy-pink-smallable-basics-315884,https://static.smallable.com/1697415-648x648q80/.jpg,t-shirt femme coton bio,candy pink,smallable basics,1,0,45.0,45.0,ss,top,w,short sleeve t-shirts,top
/en/product/banane-rayure-brick-red-gabrielle-paris-317867,https://static.smallable.com/1657861-648x648q80/.jpg,banane rayure,brick red,gabrielle paris,0,0,45.0,45.0,ss,bags,w,fanny packs,bag
/en/product/organic-cotton-software-cap-carbon-ganni-244502,https://static.smallable.com/1695771-648x648q80/.jpg,organic cotton software cap,carbon,ganni,1,0,85.0,85.0,ss,accessories,w,caps,accessories
/en/product/collaboration-soeur-x-leandra-cohen-sac-santager-green-soeur-322641,https://static.smallable.com/1693974-648x648q80/.jpg,collaboration soeur x leandra cohen - sac santager,green,soeur,0,0,80.0,80.0,ss,bags,w,handbags,bag
/en/product/banane-rayure-indigo-blue-gabrielle-paris-317866,https://static.smallable.com/1657858-648x648q80/.jpg,banane rayure,indigo blue,gabrielle paris,0,0,45.0,45.0,ss,bags,w,fanny packs,bag
