product;color;brand;greenable;discounted;disc_price;orig_price;collection;label;gender
chloe quilted crossbody bag;noir/blanc;wouf;1;0;65.0;65.0;ss;bags;w
agathe quilted crossbody bag;leopard;wouf;1;0;65.0;65.0;ss;bags;w
custine recycled cotton belt bag;leopard;rivedroite;1;0;65.0;65.0;ss;accessories;w
organic cotton denim paper bag shorts;pistachio green;alma deia;0;1;71.4;119.0;ss;bags;w
fringe organic cotton denim shorts;melon;alma deia;0;1;59.4;99.0;ss;bottom;w
bustier swimsuit;magenta;alma deia;0;1;55.3;79.0;ss;underwear;w
basic basket - xl;eucalyptus;palorosa;1;0;190.0;190.0;ss;bags;w
basic basket - m;eucalyptus;palorosa;1;0;145.0;145.0;ss;bags;w
lace-up bikini bottom;blue green;alma deia;0;1;45.5;65.0;ss;swimsuit;w
double jump pompon bag;white;dragon diffusion;1;0;235.0;235.0;ss;bags;w
small grace basket;white;dragon diffusion;1;0;319.0;319.0;ss;bags;w
hi'aka t-shirt;white;sunray;1;0;75.0;75.0;ss;top;w
draped bikini bottom;emerald green;alma deia;0;1;41.3;59.0;ss;swimsuit;w
bustier swimsuit;emerald green;alma deia;0;1;55.3;79.0;ss;underwear;w
two-tone one piece swimsuit;emerald green;alma deia;0;1;119.2;149.0;ss;swimsuit;w
matilda necklace;transparent;bohemian rhapsodie paris;0;1;118.3;169.0;ss;jewelry;w
