link,img,product,color,brand,greenable,discounted,disc_price,orig_price,collection
/en/product/dampier-stripes-cotton-t-shirt-jade-green-carhartt-302298,https://static.smallable.com/1592300-648x648q80/.jpg,dampier stripes cotton t-shirt,jade green,carhartt wip,0,1,29.4,49.0,ss
/en/product/boogie-cotton-t-shirt-dusty-pink-carhartt-302302,https://static.smallable.com/1592304-648x648q80/.jpg,boogie cotton t-shirt,dusty pink,carhartt wip,1,1,29.4,49.0,ss
/en/product/carhartt-delray-shirt-peacock-blue-carhartt-302275,https://static.smallable.com/1592292-648x648q80/.jpg,carhartt delray shirt,peacock blue,carhartt wip,0,1,47.4,79.0,ss
/en/product/linen-polo-shirt-sky-blue-hartford-314491,https://static.smallable.com/1670710-648x648q80/.jpg,linen polo shirt,sky blue,hartford,0,1,75.0,125.0,ss
/en/product/joshua-jacket-camo-grey-hartford-314482,https://static.smallable.com/1676284-648x648q80/.jpg,joshua jacket,camo grey,hartford,0,1,129.0,215.0,ss
/en/product/511-slim-jeans-denim-blue-levi-s-made-crafted-316589,https://static.smallable.com/1669084-648x648q80/.jpg,511 slim jeans,denim blue,levi's made & crafted,0,1,84.0,120.0,ss
/en/product/original-501-shorts-denim-brut-levi-s-made-crafted-316590,https://static.smallable.com/1669086-648x648q80/.jpg,original 501 shorts,denim brut,levi's made & crafted,0,1,45.5,65.0,ss
/en/product/palm-shirt-indigo-blue-hartford-314475,https://static.smallable.com/1676263-648x648q80/.jpg,palm shirt,indigo blue,hartford,0,1,89.4,149.0,ss
/en/product/premium-linen-shirt-blue-hartford-314473,https://static.smallable.com/1676255-648x648q80/.jpg,premium linen shirt,blue,hartford,0,0,145.0,145.0,ss
/en/product/military-quilted-vest-camel-taion-317356,https://static.smallable.com/1668035-648x648q80/.jpg,military quilted vest,camel,taion,0,0,105.0,105.0,ss
/en/product/bisous-x3-back-t-shirt-black-bisous-bisous-316723,https://static.smallable.com/1670472-648x648q80/.jpg,bisous x3 back t-shirt,black,bisous skateboards,1,1,35.4,59.0,ss
